Cidades,Casos,Mortes
Aparecida,2128,61
Arapeí,168,5
Areias,180,2
Bananal,993,17
Caçapava,5504,118
Cachoeira Paulista,1628,61
Campos do Jordão,3816,95
Canas,166,7
Caraguatatuba,11884,283
Cruzeiro,3852,109
Cunha,886,14
Guaratinguetá,8884,160
Igaratá,1599,15
Ilhabela,5722,32
Jacareí,15224,371
Jambeiro,279,7
Lagoinha,188,4
Lavrinhas,249,9
Lorena,4639,129
Monteiro Lobato,201,4
Natividade da Serra,102,2
Paraibuna,754,27
Pindamonhangaba,9918,189
Piquete,628,14
Potim,1401,23
Queluz,676,14
Redenção da Serra,139,4
Roseira,889,15
Santa Branca,411,6
Santo Antônio do Pinhal,249,6
São Bento do Sapucaí,401,10
São José do Barreiro,262,7
São José dos Campos,56456,1053
São Luiz do Paraitinga,432,12
São Sebastião,7.653,108
Silveiras,250,10
Taubaté,25590,415
Tremembé,2130,30
Ubatuba,6027,89